Auteur	Total De Tokens	Occurrences du Mot	Date	Titre	
Cousin, Victor (1792-1867)	3746726.0	201.0	1858	Du vrai, du beau et du bien (7e éd.) // Montaigne. Publications relatives à Montaigne, faites par le docteur J.-F. Payen // Balzac : sa vie et ses oeuvres, d'après sa correspondance / Mme L. Surville (née de Balzac) // Mémoires et correspondances historiques et littéraires inédits (1726 à 1816) / publ. par Charles Nisard // Athénée de Paris. Cours de littérature française. De la Poésie légère aux XVIIe, XVIIIe et XIXe siècles. Fragments du discours d'ouverture prononcé, le 16 novembre 1847, par Auguste Bolot,... // Cours familier de littérature [VI] // Cours familier de littérature [V] // Beaumarchais et son temps : études sur la société en France au XVIIIe siècle d'après des documents inédits. T. 1 / par Louis de Loménie // Rivarol, sa vie et ses oeuvres / par M. Léonce Curnier,... // Variétés littéraires, morales et historiques. T. I / par M. S. de Sacy,... // Question de l'orientalisme rendu classique : Divers comptes-rendus du spécimen d'orientalisme vulgarisé, intitulé : “Fleurs de l'Inde” / [par E. Masson, A. Mézières et L. Leupol] // Études littéraires et historiques / par M. le baron de Barante,... // Adam Mickiewicz : sa vie et son oeuvre (Deuxième édition) / Ladislas Mickiewicz ; avec un portrait par Théophile Bérengier // Tableau de la littérature dramatique en Europe : depuis l'origine jusqu'à nos jours / par A. Philibert-Soupé,... // La Tribune moderne. 1re partie. M. de Chateaubriand, sa vie, ses écrits, son influence littéraire et politique sur son temps, par M. Villemain,... // Les écrivains normands au XVIIe siècle / par C. Hippeau,... // Histoire de la vie et des ouvrages de J. de La Fontaine. Tome 2,Edition 4 / par C.-A. Walckenaer,... // Histoire de la vie et des ouvrages de J. de La Fontaine. Tome 1,Edition 4 / par C.-A. Walckenaer,... // Beaumarchais et son temps : études sur la société en France au XVIIIe siècle d'après des documents inédits. T. 2 / par Louis de Loménie // Notice biographique sur M. H. de Latouche, poète, littérateur et romancier. [Signé : E. Perraud de Thoury.] // Variétés littéraires, morales et historiques. T. II / par M. S. de Sacy,... // Choix d'études sur la littérature contemporaine ; [précédé des Rapports annuels sur les concours de l'Académie française, 1846-1856] / par M. Villemain,...	
Baudelaire, Charles (1821-1867), Thierry, Édouard (1813-1894), Dulamon, Frédéric (1825-1880?), Barbey d’Aurevilly, Jules (1808-1889), Asselineau, Charles (1820-1874),	2489321.0	259.0	1857	Articles justificatifs pour Charles Baudelaire, auteur des « Fleurs du mal » // Chateaubriand / par Hippolyte Castille,.... // Causeries du samedi // Cours familier de littérature [III] // La vérité sur le cas de M. Champfleury / Hippolyte Babou // Essai sur la question de l'originalité de Gil Blas, ou Nouvelles observations critiques sur ce roman, par Charles-Frédéric Franceson,... // Le poète Attius : étude sur la tragédie latine pendant la République : thèse présentée à la Faculté des lettres de Paris / par G. Boissier,... // Cours familier de littérature [IV] // La lorgnette littéraire : dictionnaire des grands et des petits auteurs de mon temps / par M. Charles Monselet // Histoire de la conversation / par Émile Deschanel // La Bruyère, quelques notes sur sa vie et ses moeurs / [signé : Édouard Fournier] // Études historiques et biographiques / par M. le baron de Barante,... // Les troubadours et Pétrarque : thèse présentée à la Faculté des lettres de Paris / par Ch.-Ant. Gidel,...	
Taine, Hippolyte Adolphe (1828-1893)	2436095.0	231.0	1856	Mémoires du duc de Saint-Simon // Jean Passerat, poëte et savant ; par Charles Des Guerrois // Les excentriques (Nouv. éd.) / par Champfleury // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 2, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant le ministère du Cardinal Mazarin et la jeunesse de Louis XIV / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 1, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant la Régence et la Fronde / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Essai sur Tite Live / par H. Taine,... // Examen critique de “la Bourse”, comédie en 5 actes en vers, de M. François Ponsard,... par M. Jules Maret-Leriche // Essai critique sur la littérature indienne et les études sanscrites : avec des notes bibliographiques / par A. Philibert-Soupé,... // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 5, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : durant le seconde conquête de la Franche-Comté par Louis XIV et la première coalition des puissances contre la France / suivis de notes et d'éclaircissements, par M. le baron Walckenaer // Notice sur Jean de Schelandre, poëte verdunois (1585-1635) (2e édition suivie de poësies réimprimées pour la première fois d'après l'édition unique de 1608) / par Charles Asselineau // Épître à un critique sur la tragédie : lue à la séance publique annuelle des cinq académies, le 14 août 1856 / par M. Viennet,... ; Institut impérial de France // Cours familier de littérature [I] // Cours familier de littérature [II] // Dernières causeries littéraires / par Armand de Pontmartin // Jonathan Swift, sa vie et ses œuvres	
Brunot, Ferdinand (1860-1938)	2142708.0	65.0	1909	Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 2 / Ferdinand Brunot,... // Histoire de la langue française, des origines à 1900 ; 3, 1-2. La formation de la langue classique (1600-1660). Tome 3,Partie 1 / Ferdinand Brunot,... // Portraits de femmes ; Madame Carlyle ; Georges Eliot ; Un couvent de femmes en Italie en XVIe siècle (Nouvelle édition) / Arvède Barine // Le lyrisme et la préciosité cultistes en Espagne : étude historique et analytique / par Lucien-Paul Thomas,... // Remy de Gourmont et son oeuvre / par Paul Delior // Le “Contrat social” et les idées politiques de J.-J. Rousseau / par Henri Rodet // Nos femmes de Lettres // De la poésie scientifique // Vers la Vérité. Sully Prudhomme, Pascal, le nouveau christianisme // L'apologétique de Brunetière / par H. Guyot,... // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig	
Lemaître, Jules (1853-1914)	3405589.0	346.0	1908	Jean Racine // Trente ans de théâtre : 4e série / Adrien Bernheim // Les sources et l'évolution des “Essais” de Montaigne : thèse pour le doctorat présentée à la Faculté des lettres de l'Université de Paris. Les sources et la chronologie des «Essais» / par Pierre Villey,... // Etudes d'histoire romantique. , Le Cénacle de la Muse française : 1823-1827 (documents inédits)... / Léon Séché // Études littéraires et morales (2e édition) / Gaston Frommel // Voltaire philosophe / Georges Pellissier // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Les sources et l'évolution des “Essais” de Montaigne : thèse pour le doctorat présentée à la Faculté des lettres de l'Université de Paris. L'évolution des «Essais» / par Pierre Villey,... // Émile Zola : sa vie, son oeuvre / Edmond Lepelletier // Études sur le drame antique (2e édition revue et complétée) / par Henri Weil,... // La philosophie de Taine : essai critique / par Paul Nève,... // Promenades philosophiques (deuxième série) // Charles Nodier et le groupe romantique : d'après des documents inédits... / Michel Salomon // Poésie et folie : essai de psychologie et de critique / par A. Antheaume,... [et] G. Dromard,... // Après le naturalisme // Molière...	
Monselet, Charles (1825-1888)	9319483.0	344.0	1866	Portraits après décès : avec lettres inédites et fac-similé / Charles Monselet // Nouveaux samedis : 2e série / par A. de Pontmartin,... // Nouveaux Lundis, tome cinquième // Balzac et ses oeuvres / par A. de Lamartine // Béranger et son temps. T. 1 / par Jules Janin ; front. avec portr. à l'eau-forte de Staal // Cours familier de littérature [XXII] // Soirées littéraires et scientifiques de la Sorbonne. Conférence sur les oeuvres poétiques de M. Pierre Lebrun / par M. Ch. Lenient,... // Histoire de la littérature anglaise (2e éd.) // La Comédie de La Bruyère. Partie 2 / par Edouard Fournier... // Nouveaux essais de critique et d’histoire (2e éd.) // La “Saga” des Nibelungen dans les Eddas et dans le Nord scandinave. Traduction précédée d'une étude sur la formation des épopées nationales, par É. de Laveleye // Mes haines : causeries littéraires et artistiques / Émile Zola // L'Italie en 1865 : souvenir d'une mission à Florence, à l'occasion du 600e anniversaire de Dante / par C. Hippeau // Nouveaux Lundis, tome sixième // Cours familier de littérature [XXI] // Génie littéraire de l'empereur Napoléon Ier : séance publique du 7 juin 1866 / discours de M. Jules Cauvet,... ; Académie impériale des sciences, arts et belles-lettres de Caen // Le théâtre de Marivaux : conférence publique faite à Moulins / par Emmanuel Des Essarts,... // Table alphabétique des auteurs et personnages cités dans les Mémoires secrets pour servir à l'histoire de la république des lettres en France rédigés par Bachaumont, etc. // La Comédie de La Bruyère. Partie 1 / par Edouard Fournier... // Petite comédie de la critique littéraire ou Molière selon trois écoles philosophiques // Michel de Cervantes : sa vie, son temps, son oeuvre politique et littéraire / par Émile Chasles,... // Béranger et son temps. T. 2 / par Jules Janin ; front. avec portr. à l'eau-forte de Staal // La philosophie de Goethe / par E. Caro	
Yriarte, Charles (1833-1898)	5758023.0	226.0	1865	Portraits parisiens / Marquis de Villemer (Ch. Yriarte) // Nouveaux Lundis, tome quatrième // Cours familier de littérature [XIX] // Madame de Sablé : Nouvelles études sur les femmes illustres de la société du XVIIe siècle (3e édition...) / par M. Victor Cousin // Cours familier de littérature [XX] // Nouveaux Lundis, tome troisième // Les œuvres et les hommes : IV. Les romanciers // Cours de littérature dramatique. [Volume 1] / A. W. Schlegel ; traduit de l'allemand par Mme Necker de Saussure... // Introduction à l’étude de la médecine expérimentale // Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné,.... 6, Mémoires touchant la vie et les écrits de Marie de Rabutin-Chantal, dame de Bourbilly, marquise de Sévigné : sixième partie de 1676 à 1680 / suivis de notes et d'éclaircissements, par M. Aubenas,... // Histoire littéraire de la France : où l'on traite de l'origine et du progrès, de la décadence et du rétablissement des sciences parmi les Gaulois et parmi les François.... Tome 4 / par des religieux bénédictins de la Congrégation de S. Maur // Histoire littéraire de la France : où l'on traite de l'origine et du progrès, de la décadence et du rétablissement des sciences parmi les Gaulois et parmi les François.... Tome 9 / par des religieux bénédictins de la Congrégation de S. Maur // Petrus Borel le lycanthrope : sa vie, ses écrits, sa correspondance, poésies et documents inédits / par Jules Claretie ; front. à l'eau-forte avec portr. de Ulm // Nouveaux samedis : 1re série / par A. de Pontmartin,... // La poésie, les principaux poètes et leur influence sur les sociétés dans les différents âges : discours de réception lu à l'Académie delphinale dans la séance du 10 février 1865 / par Ch. Vertray,... // Shakespeare et son oeuvre / A. de Lamartine,... // Théâtre, histoire, anecdotes, mots : épaves / par Charles-Maurice // La crise philosophique : MM. Taine, Renan, Littré, Vacherot // Orient. Voyages d'un critique à travers la vie et les livres, par Philarète Chasles,... 2e édition // Du Sentiment de l’admiration // Saint-Simon considéré comme historien de Louis XIV / par A. Chéruel,...	
Castagnary, Jules-Antoine (1830-1888)	7988719.0	557.0	1864	Les Libres propos, par Castagnary // De la critique littéraire // Cours familier de littérature [XVIII] // Nouveaux Lundis, tome deuxième // Etudes sur la Renaissance : Renaissance et réforme : Erasme, Thomas Morus, Mélanchton (2e édition) / par D. Nisard,... // Portraits littéraires, tome III // Corneille, Shakespeare et Goethe. Étude sur l’influence anglo-germanique en France au XIXe siècle // Cours familier de littérature [XVII] // Jubilé de Shakespeare, 23 avril 1564-1864. Toast au banquet de Paris, par M. Émile Deschamps // De l'unité de composition grammaticale et syntactique dans les différentes familles de langues / par M. Bergmann,... // Le roman contemporain // Histoire de la littérature espagnole / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // Histoire de la littérature espagnole. PERIODE 1 / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // Physiologie des écrivains et des artistes ou Essai de critique naturelle // Histoire de la littérature espagnole. PERIODE 2 / de G. Ticknor,... ; traduite de l'anglais en français pour la première fois, avec les notes et additions des commentateurs espagnols D. Pascal de Gayangos et D. Henri de Vedia, par J.-G. Magnabal,... // Les Quarante médaillons de l'Académie, par J. Barbey d'Aurevilly... // Fréron, ou L'illustre critique : sa vie, ses écrits, sa correspondance, sa famille, etc. / par Charles Monselet ; frontispice à l'eau-forte avec portraits par Ed. Morin // Étude sur Étienne de La Boétie, par M. Prévost-Paradol, publiée à l'occasion d'une fête de charité donnée à Sarlat le 31 juillet 1864 // Les originaux du siècle dernier : les oubliés et les dédaignés / par Charles Monselet // Nouvelles études d'histoire et de littérature / par D. Nisard,... // La Poésie et l'éloquence à Rome au temps des Césars, par M. Jules Janin... // Histoire anecdotique de l’ancien théâtre en France [I]	
Lamartine, Alphonse de (1790-1869)	5074875.0	276.0	1863	Cours familier de littérature [XV] // L'Espagne religieuse et littéraire : pages détachées / par Antoine de Latour // Historiens, poètes et romanciers. Tome 2 / par Cuvillier-Fleury... // Mémoires de l'Académie royale des sciences, arts et belles-lettres de Caen // Vie, poésies et pensées de Joseph Delorme (Nouvelle édition très augmentée) / Sainte-Beuve // Les harangues de l'exil. T. 3 / par F. D. Bancel // Voltaire et Rousseau / par Eugène Noël ; avec une préface par Jules Levallois ; [avertissement de H. Leneuveux] // Historiens, poètes et romanciers. Tome 1 / par Cuvillier-Fleury... // Origines littéraires de la France : la légende et le roman, le théâtre, la prédication, l'Antiquité et le Moyen-âge, le Moyen-âge et la littérature moderne (Nouvelle édition) / par Louis Moland // Cours familier de littérature [XVI] // Études critiques sur la littérature contemporaine. Tome 7 / par Edmond Scherer // Essais de littérature et de morale. Tome 2 / par Saint-Marc Girardin,... // Nouveaux Lundis, tome premier // Les consolations ; Pensées d'août ; Notes et sonnets ; Un dernier rêve (Nouvelle édition revue et augmentée) / Par C. A. Sainte-Beuve // Le réalisme épique dans le roman // Histoire des idées littéraires en France au XIXe siècle et de leurs origines dans les siècles antérieurs. 1 / par Alfred Michiels // Les Coups d'épée dans l'eau, par Jean Rousseau // Les harangues de l'exil. T. 2 / par F. D. Bancel // Nouvelles Semaines littéraires, par Armand de Pontmartin // Réalistes et fantaisistes : études morales et littéraires (2e éd.) / par Gustave Merlet // Critique littéraire sous le Premier Empire. précédée d'une Notice historique sur M. Boissonade. Tome premier, Critique grecque. Critique latine. Curiosités philologiques. Biographies / J.-F. Boissonade ; publiée par F. Colincamp....par M. Naudet,... // Études critiques sur la littérature contemporaine. T. 8 / par Edmond Scherer // Garin le Lorrain : lu à l'Académie de Stanislas, le jour de sa réception / par M. Émile Chasles // Les harangues de l'exil. T. 1 / par F. D. Bancel // Études critiques sur la littérature contemporaine. Série 3 / par Edmond Scherer // Critique littéraire sous le Premier Empire. précédée d'une Notice historique sur M. Boissonade. Tome second, Critique étrangère. Critique française. Morceau inédits. Correspondances. Éphémérides / J.-F. Boissonade ; publiée par F. Colincamp....par M. Naudet,...	
Ampère, Jean-Jacques (1800-1864)	5471996.0	220.0	1862	L'histoire romaine à Rome. Tome 1 / par J.-J. Ampère,... // L'histoire romaine à Rome. Tome 4 / par J.-J. Ampère,... // Victor Hugo . (Signé : Alfred Nettement.) // Poétique ou Introduction à l'esthétique. Tome 2 / par Jean Paul Fr. Richter ; traduite de l'allemand, précédée d'un essai sur Jean Paul et sa poétique, suivie de notes et de commentaires, par Alexandre Büchner et Léon Dumont... // Les galanteries du XVIIIe siècle / par Charles Monselet // L'histoire romaine à Rome. Tome 2 / par J.-J. Ampère,... // Mémoires de l'Académie des sciences, belles-lettres et arts de Clermont-Ferrand // Poétique ou Introduction à l'esthétique. Tome 1 / par Jean Paul Fr. Richter ; traduite de l'allemand, précédée d'un essai sur Jean Paul et sa poétique, suivie de notes et de commentaires, par Alexandre Büchner et Léon Dumont... // Journal, lettres et poèmes (2e édition revue et considérablement augmentée) / Maurice de Guérin ; publiés avec l'assentiment de sa famille par G. S. Trébutien ; et précédés d'une étude biographique et littéraire par M. Sainte-Beuve,... // Portraits littéraires, tome II // Cicéron médecin : étude médico-littéraire / par le Dr P. Ménière,... // Tableau de la littérature française au XVIe siècle, suivi d'études sur la littérature du Moyen âge et de la Renaissance, par M. Saint-Marc Girardin,... // Portraits littéraires, tome I // La littérature indépendante et les écrivains oubliés : essais de critique et d'érudition sur le XVIIe siècle / par Victor Fournel // Histoire du roman et de ses rapports avec l'histoire dans l'antiquité grecque et latine (2e éd.) / par A. Chassang // L'histoire romaine à Rome. Tome 3 / par J.-J. Ampère,... // Cours familier de littérature [XIV] // Le paradis des gens de lettres // Le dernier livre de M. Taine : “La Fontaine et ses fables”. Conférence du rez-de-chaussée / [signé : A. Filon] // Cours familier de littérature [XIII]	
Lamartine, Alphonse de (1790-1869)	3200805.0	140.0	1861	Cours familier de littérature [XI] // Littérature étrangère. Écrivains et poètes modernes, par Saint-René Taillandier // Corneille, Racine et Molière. Deux cours sur la poésie dramatique française au XVIIe siècle, par Eugène Rambert,... // Les Semaines littéraires, 3e série des “Causeries littéraires”, par Armand de Pontmartin // Causeries de quinzaine, par Émile Deschanel // Histoire de la littérature française depuis ses origines jusqu'à la révolution. Tome 2 / par Eugène Géruzez,... // Histoire de la littérature française depuis ses origines jusqu'à la révolution. Tome 1 / par Eugène Géruzez,... // Les œuvres et les hommes : II. Les historiens politiques et littéraires // La Fontaine moraliste : causeries / par Amédée de Margerie,... // Discours contre M. Legouvé, à propos de Mme Ristori et du théâtre des jeunes auteurs / Aurélien Scholl // Cours familier de littérature [XII] // La Fontaine et ses fables // La Fontaine et Buffon , par Damas Hinard	
Veuillot, Louis (1813-1883)	4001395.0	279.0	1860	Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Edition 2,Tome 3 / par Louis Veuillot,... // Cours familier de littérature [X] // Les matinées littéraires / par Taxile Delord // Poésie héroïque des indiens comparée à l'épopée grecque et romaine... par F. G. Eichhoff,... // Les gladiateurs de la République des lettres aux XVe, XVIe et XVIIe siècles. Tome 2 / par Charles Nisard // Les œuvres et les hommes : I. Les philosophes et les écrivains religieux (première série) // Histoire de la littérature des Hindous / par Louis Enault // Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Edition 2,Tome 5 / par Louis Veuillot,... // Discours et mélanges littéraires (Nouvelle édition revue, corrigée et augmentée) / par M. Villemain,... // Cours familier de littérature [IX] // XIXe siècle. Les oeuvres et les hommes. T. 7 / par J. Barbey d'Aurevilly // Tous les genres du théâtre et sujets correspondants : épîtres en vers libres / par Charles Maurice // Poëtes modernes de la France. Jules Lefèvre-Deumier ; par Emmanuel Des Essarts // XIXe siècle. Les oeuvres et les hommes. T. 16 / par J. Barbey d'Aurevilly // Les gladiateurs de la République des lettres aux XVe, XVIe et XVIIe siècles. Tome 1 / par Charles Nisard // XIXe siècle. Les oeuvres et les hommes. T. 14 / par J. Barbey d'Aurevilly // Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Edition 2,Tome 2 / par Louis Veuillot,... // Lettres satiriques et critiques / par Hippolyte Babou // Mélanges religieux, historiques, politiques et littéraires : (1842-1856), [1re série]. Tome 6,Edition 2 / par Louis Veuillot,... // Léonie : essai d'éducation par le roman / Mlle Euphémie Vauthier. précédé d'une lettre de M. de Lamartine	
Merlant, Joachim (1875-1919)	4049933.0	205.0	1907	Sénancour : (1770-1846) : poète, penseur religieux et publiciste : sa vie, son oeuvre, son influence : documents inconnus ou inédits / Joachim Merlant // Le Romantisme Français // La vie et les ouvrages de Jean-Jacques Rousseau / Bernardin de Saint-Pierre ; édition critique publ. [...] par Maurice Souriau // Causeries littéraires sur le XIXe siècle (1800-1850) / Émile Souvestre ; ouvrage inédit publié par Mme A. Beau,... ; préface de L. Dugas,... // La rythmique musicale des troubadours et des trouvères / Pierre Aubry // Les Sources de Leconte de Lisle, par Joseph Vianey,... // Propos de théâtre // Jean-Jacques Rousseau // Histoire de la littérature russe / par Louis Leger,... // Propos littéraires // La langue nouvelle : essai de critique conservatrice / par A. Claveau // Amours d'hommes de lettres : Pascal, Corneille, Voltaire, Mirabeau, Chateaubriand, Lamartine, Guizot, Mérimée, Sainte-Beuve, George Sand et Musset / Émile Faguet // Goethe et le Tasse / Pierre de Bouchaud // Les Annales du théâtre et de la musique / Édouard Noël et Edmond Stoullig // Montmartre et ses artistes / [signé Gustave Kahn]	
